#{"t_start": 1779336027.0662909, "env_id": "None"}
r,l,t
463.016458,43,3.712237
489.247734,41,4.856118
506.247233,36,5.673846
463.461127,32,6.44837
4473.125521,49,6.89928551503.304997,32,7.61871355520.682793,31,8.32858336482.810772,42,9.15519854486.519796,37,10.2799944514.726105,39,11.09843246468.214955,37,11.86188550535.663377,35,12.66111
4524.941198,32,13.399271
4530.316842,34,14.132327
4472.660706,34,14.911771
4522.395979,33,15.66905254520.081464,39,16.46135035513.032051,33,17.20875464441.507343,39,18.0289535477.969078,39,18.86015348455.874887,45,19.766276
401.702784,44,20.599769
519.214904,31,21.321709
558.463389,38,22.089057
451.956284,36,22.878601
817.113793,30,23.599248
493.413058,30,23.919520.477.033647,39,24.7491399472.213481,30,25.44047490464.55009,37,26.23905459478.692195,38,27.0383490.501.924909,38,27.9026452.518.518155,39,29.123139
750.3067,36,29.909006
491.190295,41,30.740959
507.802983,36,31.548715
411.515101,41,32.42275
455.670094,37,33.22376
497.207634,36,34.023268
466.244737,35,34.778258
408.50625,45,35.649495
487.072081,33,36.40179
503.13151,32,37.178938
532.511445,33,37.927484
504.366114,39,38.72226
531.924376,31,39.447896
521.384648,37,40.229118
545.917182,34,40.998219
509.5619,41,41.84886
530.230657,31,42.557771
483.083637,34,43.328547
449.94059,49,44.268239
520.134761,37,45.089198
517.685448,31,45.810604
476.355068,34,46.5816
491.722882,35,47.368162
465.632105,43,50.466058
535.403789,31,51.208271
370.926386,41,52.068106
511.122743,38,52.889205
517.589126,41,53.799452
765.007924,38,54.622919
474.986718,37,55.427417
524.385637,37,56.238159
460.125265,39,57.07912
799.206465,37,57.879979
537.055558,38,58.689415
512.229168,34,59.493445
530.482471,39,60.309267
494.595712,36,61.112157
462.669281,39,61.91128
451.290152,34,62.689803
462.463506,43,63.599246
514.926223,33,64.370085
512.126009,37,65.17801
522.780467,34,65.988116
537.735685,32,66.747078
481.789893,37,67.566492
291.403043,57,68.968439
519.782385,38,69.788164
450.533244,45,70.680225
540.580763,33,71.469968
509.957102,38,72.298637
476.202006,35,73.087599
496.845287,39,73.902051
815.839151,28,74.616993
545.83108,28,75.327135
464.459222,35,76.110881
469.228281,42,76.974401
521.533093,33,77.748282
529.38188,33,78.521454
442.472226,36,79.337938
488.198496,30,80.06801
530.941199,37,80.86692
499.197487,38,81.690383
829.464825,34,82.486237
526.215296,32,83.237259
458.637202,33,84.019717
458.406812,38,84.858819
453.883026,30,85.598654
517.077297,35,86.409432
477.019607,51,87.768621
458.960784,27,88.487642
503.357354,43,89.347632
450.354325,36,90.148435
503.749536,41,91.007611
499.527941,30,91.737979
508.910092,34,92.53058
457.976755,37,93.33918
464.651167,37,94.17847
469.842226,38,95.019994
498.774116,30,95.766744
445.72343,36,98.460306
509.813115,38,99.272014
501.579802,35,100.068758
480.984953,37,100.897756
522.975376,36,101.693087
532.188676,30,102.457338
517.373821,38,103.298228
487.572376,31,104.08724
467.335869,35,104.889167
478.684969,34,105.6573
487.081882,41,106.528393
824.73047,32,107.311074
532.178316,30,108.060987
517.120503,30,108.801081
541.658306,37,109.608082
507.182141,34,110.398083
486.116478,31,111.128294
490.394724,35,111.943305
538.358843,37,112.770511
471.674461,36,113.608572
469.725159,37,114.419459
474.192273,31,115.176764
484.231162,33,115.958867
442.716239,33,116.689709
489.795969,36,117.490639
819.041277,32,118.310723
548.549224,29,119.150117
548.549224,29,119.868643
469.335442,29,120.577956
463.317759,39,121.848112
522.037486,36,122.659901
520.242342,37,123.499237
476.848368,42,124.396726
838.578178,33,125.155769
532.795225,36,125.968027
416.146173,24,126.636866
440.29708,38,127.44774
486.762349,43,128.32833
406.306005,34,129.116236
552.91262,32,129.918088
505.955958,42,130.75614
492.009339,33,131.539057
497.417259,31,132.262286
530.206398,32,133.036757
473.18945,38,133.858422
543.919855,31,134.599968
523.086773,35,135.408135
459.00567,39,136.286646
506.643403,33,137.067632
481.14056,30,137.397215
529.22386,40,138.259909
821.668109,33,139.031066
522.302268,33,139.817234
542.109763,36,140.626843
470.849487,32,141.360481
475.595281,36,142.187599
550.551594,34,142.976462
801.456795,38,143.816572
428.614048,39,145.069789
495.633635,35,145.859733
480.376954,35,148.505419
538.495246,40,149.335202
481.03693,37,150.156177
489.671157,40,151.007158
444.656224,30,151.735619
408.600843,37,152.542578
495.796789,31,153.290067
528.637397,44,154.186287
512.740438,31,154.947429
409.383116,44,156.237892
511.673253,34,156.618038
491.300351,45,157.486838
478.300046,38,158.297705
512.182273,30,159.038721
524.168658,34,159.82943
472.264034,46,160.738287
488.650511,37,161.546176
496.406338,40,162.398926
443.977986,35,163.196891
509.129397,32,163.946131
514.597173,39,164.805097
458.766402,34,165.588848
529.247454,33,166.361502
511.065819,38,167.177061
512.201193,37,167.986916
498.517617,33,168.787529
817.611517,32,169.549686
516.59231,34,170.349831
457.864227,45,171.277607
487.719584,36,172.086292
532.394747,38,172.930675
498.74496,38,173.758446
329.827341,46,174.65791
528.445399,29,174.998951
537.861302,41,176.298251
544.021745,35,177.096048
477.093482,41,177.955851
472.691033,42,178.827655
493.663647,35,179.61861
361.631989,40,180.466734
538.078194,33,181.251118
500.643126,34,182.03858
502.11883,35,182.805368
803.25539,37,183.589021
424.321885,40,184.407585
825.866311,34,185.187561
529.445571,35,185.976033
508.214011,36,186.800827
543.639417,34,187.60591
501.874082,37,188.440055
787.351421,35,189.25948
517.666135,28,189.985309
417.274641,41,190.838092
446.937809,35,191.635619
403.4266,44,192.514256
532.664386,36,193.335441
464.93951,37,196.114768
508.084909,34,196.887826
509.113602,30,197.644337
517.910323,38,198.488916
824.391516,30,199.23301
814.938322,31,199.965115
464.270257,40,200.825924
524.632184,37,201.655586
513.490233,33,202.423349
396.523707,37,203.234933
498.703748,29,203.997097
537.826173,35,204.79853
457.247503,39,205.218441
530.979648,36,206.445651
489.787218,38,206.867347
490.873578,42,208.125773
538.140092,39,209.00603
533.162385,41,209.877035
762.686401,42,210.786722
462.168302,39,211.596863
542.562671,35,212.377282
530.94043,37,213.644938
823.153682,34,214.017005
814.087071,35,215.216635
531.39677,29,215.5357
483.523722,40,216.807134
483.164528,32,217.180479
471.688495,29,217.905031
526.788979,31,218.675282
828.587828,36,219.599068
381.890695,45,220.553322
504.0450.625509,47,221.679464.6481.947597,42,222.574501.8493.7001,37,223.4083492.501.185692,34,224.2457506508.746551,45,225.567422.4435.772835,38,226.417465.0543.566332,37,227.265535.9723.793619,34,228.046460.9486.818186,38,228.90548.98809.558472,35,229.70475.14485.440436,36,230.52510.45445.959133,45,231.44377.04534.089278,39,232.28540.09483.559688,31,233.46481.81531.069885,37,234.31540.14481.464131,35,235.12540.59470.274406,36,235.9458.350416.541497,40,236.7542.416516.405082,37,237.840.0612840.061294,27,238.840.061294,27,238.549302
488.75152,41,239.395568
526.61143480.524176,36,240380.54037431.593943,50,241487.36823812.30504,35,242.533.3447517.621663,38,243.390.0857469.80131,35,244.4551.275509.534127,36,247.5468.403703,38,247.515249
551.680530.447281,41,249.410.1911509.538638,40,249.430.014095,38,250.435028
830.2555448.421265,37,251.462.270643,41,252.164557
546.826266,37,252.996812
421.854704,37,253.834967
491.462393,39,254.693528
470.165022,39,255.568193
534.299643,38,256.418839
518.61867,42,257.296247
437.89559,41,258.146315
473.597134,38,259.025343
494.827218,45,259.939615
499.775146,33,260.745024
500.803074,29,261.464477
480.908619,29,262.186688
796.934062,34,262.975224
458.471395,36,263.825136
477.018467,43,264.725296
393.050518,21,264.965369
477.004071,39,265.838229
481.151673,29,266.586029
519.624396,34,266.975707
531.907924,37,267.831604
547.255208,36,269.100515
450.375051,38,269.535025
359.652412,61,271.045323
503.934404,30,271.807028
338.372646,49,272.788118
514.266167,40,273.665755
516.054002,36,274.532882
462.045972,41,275.804093
799.959477,35,276.606201
388.001053,44,277.499624
504.215342,37,278.347313
555.853311,33,279.189054
526.099274,30,279.540779
374.613412,40,280.798733
484.237934,39,281.688506
487.491599,39,282.5666
510.61539,39,283.433647
431.073002,46,284.355327
522.457573,35,285.138714
538.346785,33,285.963762
513.241814,31,286.765428
806.970775,40,287.624528
469.305032,41,288.487364
484.238475,37,289.293833
513.104524,32,289.664277
474.009105,34,290.467474
528.497703,37,291.317023
533.696936,29,292.065557
821.742319,39,295.126363
502.389781,35,295.912144
411.903204,41,296.775477
537.048438,34,297.542912
536.852021,35,298.339621
495.078913,34,299.135373
551.014112,35,299.929063
827.919681,36,300.782406
500.467985,40,301.665746
451.823747,37,302.474254
489.000648,47,303.404368
786.829676,34,304.217269
526.152059,36,305.063989
468.281063,40,305.924238
836.088868,33,306.733533
521.857922,35,307.575328
486.45641,37,308.43841
502.738099,41,309.324767
824.391502,31,309.685651
517.943537,33,310.473579
815.905521,35,311.263174
811.29315,37,312.518591
742.173927,34,312.929011
548.810449,40,314.195643
498.827002,34,314.996286
805.42406,36,315.793526
785.665986,44,316.724329
504.18934,42,317.604667
820.277997,34,318.403325
532.799523,34,319.197114
524.082731,36,319.605159
819.101174,42,320.882086
496.53545,32,321.687796
464.844371,36,322.142498
530.970874,39,323.398004
550.617019,37,324.234167
536.781927,39,325.082426
515.959786,43,325.984856
473.839857,36,326.85232
494.695649,32,327.638859
523.27199,36,328.467699
460.004947,35,329.275799
477.677736,52,330.284192
427.237783,35,331.114549
838.712825,36,331.948755
528.496844,34,332.742727
773.487603,35,333.562251
826.500933,31,334.313638
485.578854,39,335.144566
531.848213,34,335.54916
771.112238,38,336.816327
813.655831,36,337.598432
450.780638,35,338.422067
412.659692,40,339.293787
815.805242,38,340.154278
517.392211,37,343.089005
497.60864,37,343.911806
810.182171,36,344.72186
509.374337,32,345.484251
455.850254,41,346.33476
818.477088,41,347.174673
520.549327,35,347.99498
543.745003,35,348.849957
516.763934,31,349.616196
510.278504,34,350.43833
472.609752,31,351.237432
540.009176,38,352.073603
534.330096,37,352.90668
435.978184,45,353.861821
4481.99981,38,354.69547
440.294864,43,355.593606
490.611896,34,356.393751
509.770784,44,357.327975
834.806166,27,358.720879
834.806166,27,359.406575
816.386955,32,360.141865
478.335967,43,361.055573
520.914735,33,361.836581
517.093652,39,362.705417
490.620647,33,363.483209
449.811681,44,364.392634
508.051839,34,365.198291
439.189728,36,366.043669
780.658226,40,366.894142
524.527528,31,367.682477
490.229279,36,368.496623
491.348449,34,369.294053
495.963806,39,370.16604
517.399759,41,371.055593
524.026201,33,371.853359
508.677111,40,372.685798
542.817639,30,373.42323431508.040996,42,374.315982
503.399848,31,375.074469.4533.715229,37,375.925501.505.434145,38,376.7828535.479.216273,28,377.106480.855965,43,378.74295
449.07487.710589,44,379.21526.67485.633083,43,380.1482.492824.595578,36,380.537.44769,41,382.157609
499.11069528.828446,36,382503.89891424.87248,39,383.499.6930490.483518,50,384400.19377484.551018,33,38409.083051475.39303,36,386552.97634495.267816,32,386552.23331449.753612,41,387504.65964479.033552,38,388517.25977529.209408,35,389492.09041802.14664,32,390442.32695490.145903,44,393834.0197469.343437,35,394507.67792482.82103,41,395.522.8360442.334201,44,395.827272
492.995894,36,396.670568
525.713639,35,397.517742
828.669513,36,398.339859
516.740622,28,399.072057
503.089779,42,399.971545
467.522841,44,400.862837
517.792054,39,401.701218
823.147307,39,402.583902
425.283417,43,403.514712
812.649171,38,404.341577
794.542678,29,405.093561
515.284094,30,405.84271
